encoder_seed,encoder_run,seed,true_dataset,predicted_dataset,count,source,feature_set,shuffled_label_control
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,physionet_grabmyo,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,physionet_hyser,2317,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,ninapro_db10_meganepro,966,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,physionet_grabmyo,409,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,physionet_hyser,899,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,ninapro_db10_meganepro,727,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,physionet_grabmyo,827,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,physionet_hyser,754,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,ninapro_db10_meganepro,711,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,physionet_grabmyo,787,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,physionet_hyser,819,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,ninapro_db10_meganepro,2238,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2030,ninapro_db10_meganepro,physionet_grabmyo,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
