encoder_seed,encoder_run,dataset,protocol,calibration_per_class,comparison,metric,n_paired_trials,delta_mean,delta_ci95,win_rate
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,acc,430,-0.0294650195782636,0.0050762815222877,0.2697674418604651
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,balanced_acc,430,-0.0266913254955011,0.0053040450799462,0.3093023255813953
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_raw_stats,macro_f1,430,-0.02085775353103,0.0048753688437478,0.3348837209302325
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_scratch_encoder,acc,430,-0.0049360407251181,0.0047194960342448,0.4395348837209302
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,-0.0045538560989218,0.0050124142861724,0.4627906976744186
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder_minus_scratch_encoder,macro_f1,430,-0.0041636914455541,0.0045078449562283,0.4395348837209302
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained_minus_raw_stats,acc,430,-0.0150887593690111,0.0050839972161345,0.3697674418604651
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,-0.0121195404043109,0.0050906082588975,0.4232558139534884
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,-0.0061541163999453,0.0047943048037325,0.4744186046511628
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_raw_stats,acc,430,-0.0270092511237276,0.0068346199062695,0.3209302325581395
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_raw_stats,balanced_acc,430,-0.0249494814955585,0.0072645882665985,0.3488372093023256
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_raw_stats,macro_f1,430,-0.0158294956778324,0.0058379934619988,0.3790697674418604
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_scratch_encoder,acc,430,0.0044474155861298,0.006278536879053,0.5023255813953489
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,0.0070263328800715,0.0064879698702559,0.5790697674418605
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder_minus_scratch_encoder,macro_f1,430,0.0051286528721673,0.0054122982564178,0.5651162790697675
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained_minus_raw_stats,acc,430,-0.0150542284879249,0.0066113402046884,0.3837209302325581
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,-0.0138663507953458,0.0070522567509537,0.3953488372093023
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,-0.0036871579853483,0.0057573408391144,0.4744186046511628
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_raw_stats,acc,430,0.0118068532588398,0.0039868294875772,0.5906976744186047
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_raw_stats,balanced_acc,430,0.0115819546966335,0.0039746626578144,0.6069767441860465
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_raw_stats,macro_f1,430,0.0086413430302932,0.0036901577062559,0.5883720930232558
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_scratch_encoder,acc,430,0.0145068277219152,0.0035756564889866,0.6325581395348837
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,0.0149233753745562,0.0035431814302148,0.672093023255814
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,pretrained_encoder_minus_scratch_encoder,macro_f1,430,0.0133406294930521,0.00329270707896,0.6604651162790698
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,raw_stats_plus_pretrained_minus_raw_stats,acc,430,0.0239446139162791,0.003734319767569,0.7186046511627907
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,target_calibration_only,1,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,0.0236942322707645,0.0037633455576574,0.7348837209302326
