encoder_seed,encoder_run,dataset,protocol,calibration_per_class,model,n_trials,n_units,acc_mean,macro_f1_mean,balanced_acc_mean,n_train_mean,n_test_mean,acc_ci95,macro_f1_ci95,balanced_acc_ci95
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,5,scratch_encoder,100,20,0.0811977531148479,0.075635316084566,0.0818004089040789,1163.65,707.96,0.0045702443294706,0.0041974312809154,0.0045326942473305
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,10,pretrained_encoder,100,20,0.1050658952691813,0.0987193564299174,0.1100959009133557,1330.79,555.45,0.0061694042534305,0.0058793398382461,0.0071357024412816
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,10,raw_stats,100,20,0.1130219118652282,0.0984734588613404,0.1140947085687556,1330.79,555.45,0.0045425623897064,0.0043104363993131,0.0048488225760818
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,10,raw_stats_plus_pretrained,100,20,0.1254128048342521,0.1173913131000726,0.131910693117546,1330.79,555.45,0.0076986465217139,0.0076753028922922,0.0088471558318248
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_hyser,source_plus_calibration,10,scratch_encoder,100,20,0.0971984202911359,0.0882373628627607,0.099510661150221,1330.79,555.45,0.0058652642833341,0.0052455899364543,0.0063610641829589
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,1,pretrained_encoder,430,86,0.1679008685510019,0.1591556338076684,0.166257585274011,326.6744186046512,262.51162790697674,0.0043678380803077,0.004141438637108,0.0043899875978338
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,1,raw_stats,430,86,0.1845375375482839,0.1704047026136427,0.1836361932693832,326.6744186046512,262.51162790697674,0.003748214311932,0.0036324944657793,0.0036969363091065
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained,430,86,0.1784568854362983,0.1698106170933483,0.177382415489521,326.6744186046512,262.51162790697674,0.0045165417411775,0.0043226815456934,0.0044893897917161
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,1,scratch_encoder,430,86,0.1669151091424423,0.1581535872555874,0.1660992828360189,326.6744186046512,262.51162790697674,0.0043035340304399,0.0041450067967305,0.0042939962846667
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder,430,86,0.1745054622827602,0.164799460583959,0.1730948688752055,343.66511627906976,252.3046511627907,0.004370864106316,0.0041402136782033,0.0043408546935488
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,2,raw_stats,430,86,0.193315285892821,0.1779562647042935,0.1917410904265431,343.66511627906976,252.3046511627907,0.0040179286820824,0.0037528376510374,0.0039372927376701
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained,430,86,0.1852364949106806,0.175663112831211,0.1845950359573402,343.66511627906976,252.3046511627907,0.0045476864758524,0.0043647911418268,0.0045898155604884
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,2,scratch_encoder,430,86,0.1726807101311787,0.1634025613233506,0.1722090133332645,343.66511627906976,252.3046511627907,0.0043943943114651,0.0041967009979879,0.0044033562403785
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder,430,86,0.1906585477056854,0.1784586173244244,0.1903874392077521,394.4139534883721,203.24883720930237,0.0051658080740122,0.0049232553211016,0.00530783110576
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,5,raw_stats,430,86,0.2142105264063439,0.1945970697510462,0.2136107715039376,394.4139534883721,203.24883720930237,0.0042464650347684,0.0038652209344219,0.0042246999343733
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,5,raw_stats_plus_pretrained,430,86,0.2013973450890596,0.1900562037851972,0.2028811693223307,394.4139534883721,203.24883720930237,0.0052079253184552,0.0049688671982435,0.0053096134735733
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,5,scratch_encoder,430,86,0.1896815475531984,0.1779030076655703,0.1914733021073584,394.4139534883721,203.24883720930237,0.0048107509348826,0.0046123595194759,0.0050795311823177
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,10,pretrained_encoder,430,86,0.2197703404024489,0.1857871515286237,0.2198915740561318,461.6581395348837,118.4906976744186,0.0061661475985293,0.0054079968130384,0.0064219439056423
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,10,raw_stats,430,86,0.2486274699943831,0.2048823891078832,0.2501729285888949,461.6581395348837,118.4906976744186,0.0054646337103051,0.0047226305204074,0.005704963897765
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,10,raw_stats_plus_pretrained,430,86,0.2337504146584922,0.1998816851804484,0.2365522152444615,461.6581395348837,118.4906976744186,0.0064375938482127,0.0057271188130493,0.0067704916653404
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_grabmyo,source_plus_calibration,10,scratch_encoder,430,86,0.2171708032845255,0.1839242405578834,0.2181971142132647,461.6581395348837,118.4906976744186,0.0060736974487943,0.00538574529195,0.0064586663650571
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,1,pretrained_encoder,100,20,0.0663082789554435,0.0613261021189753,0.0669673611282632,1028.9,864.11,0.0037234552068372,0.0033945826884381,0.0038140671936204
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,1,raw_stats,100,20,0.0705931614625412,0.0602162660627772,0.0716701099647157,1028.9,864.11,0.0038434629969872,0.0034170798388929,0.0039341313462427
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained,100,20,0.0760078165629883,0.0702941796950224,0.0761459805464594,1028.9,864.11,0.0043104164401139,0.0042057569093777,0.0044079117038792
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,1,scratch_encoder,100,20,0.061546908311437,0.0573359537568294,0.0616436819651187,1028.9,864.11,0.0041107443035247,0.0037747832690823,0.0040224318287968
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,2,pretrained_encoder,100,20,0.0723363759635676,0.0679404550343791,0.0735495698728627,1062.65,835.77,0.0031448414997076,0.0030230221272391,0.0034431414778963
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,2,raw_stats,100,20,0.0776763710097519,0.067191874680115,0.0785720413345655,1062.65,835.77,0.0040435825341931,0.0035259010435181,0.004193930386012
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained,100,20,0.0839841446700205,0.0788645594059756,0.0852000032871538,1062.65,835.77,0.0045446948342904,0.0044281304173162,0.0047218558635357
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,2,scratch_encoder,100,20,0.0670530948094267,0.0629882170316975,0.0675384230012806,1062.65,835.77,0.0041638455490477,0.0037897506703264,0.0041495583137476
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,physionet_hyser,source_plus_calibration,5,pretrained_encoder,100,20,0.0804117951305333,0.0749592835208712,0.0814443513103433,1163.65,707.96,0.004517754447377,0.0041722596828526,0.0047880612754362
