run_label,seed,shuffled_label_control,label_control_mode,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,optimal_relabel_accuracy,mutual_info,normalized_mutual_info,mean_prediction_entropy,normalized_prediction_entropy,ece
encoder_seed_2029,2029,True,train_labels_permuted_only,6,22889,7111,0.1666666666666666,0.1868935452116439,0.1368302629728589,0.1315122408827285,0.1350395323096019,0.2522851919561243,0.1273143037241474,0.0720544665321423,1.7668902139348786,0.9861202043464624,0.064334787331976
encoder_seed_2029,2030,True,train_labels_permuted_only,6,22572,7428,0.1666666666666666,0.1743403338718362,0.1859181475498115,0.1843878692199313,0.185982063561651,0.3209477652127087,0.1671546499662587,0.0943151556275074,1.7702542888567847,0.9879977303088928,0.0299621274436835
encoder_seed_2029,2031,True,train_labels_permuted_only,6,22764,7236,0.1666666666666666,0.1784134881149806,0.1448313985627418,0.1460920174083379,0.1499837431951028,0.3536484245439469,0.2664604416250894,0.1511105317736283,1.7725056011776228,0.9892542116388384,0.0519428439403512
encoder_seed_2029,2032,True,train_labels_permuted_only,6,22717,7283,0.1666666666666666,0.1805574625840999,0.2855965948098311,0.293527498958501,0.2713160182794121,0.3103116847452972,0.2170296176050201,0.1218545243177816,1.7550757003367885,0.9795263987598342,0.1335973654424965
encoder_seed_2029,2033,True,train_labels_permuted_only,6,22286,7714,0.1666666666666666,0.18796992481203,0.1534871661913404,0.1566393492971412,0.1565580455047709,0.3208452164894996,0.1636194398730349,0.0917601831150763,1.7645349360510745,0.98480569873103,0.0480925591798547
encoder_seed_2029,2034,True,train_labels_permuted_only,6,22765,7235,0.1666666666666666,0.1910158949550794,0.1802349689011748,0.1850152420189258,0.1822904680039483,0.3161022805805114,0.1879966481347407,0.1058851316167862,1.7661760010179468,0.9857215945279026,0.0212766830299405
encoder_seed_2029,2035,True,train_labels_permuted_only,6,22461,7539,0.1666666666666666,0.1944554980766679,0.1957819339434938,0.1940120202869865,0.1995491181338841,0.31622231065128,0.180256734207837,0.1017631569130776,1.7665500532101703,0.9859303570312674,0.0326037891535664
encoder_seed_2030,2026,False,true_labels,6,22979,7021,0.1666666666666666,0.1912832929782082,0.922375729952998,0.9228014288283132,0.9196687249083552,0.922375729952998,1.5948855579005436,0.8934451661134318,0.2938607018093622,0.1640067804056124,0.0408569700156681
encoder_seed_2030,2027,False,true_labels,6,22489,7511,0.1666666666666666,0.1978431633604047,0.9253095459992012,0.914830894526645,0.9142718085772662,0.9253095459992012,1.6135248076438184,0.9054274568030888,0.2764404268384939,0.154284339826926,0.0361044528654982
encoder_seed_2030,2028,False,true_labels,6,22480,7520,0.1666666666666666,0.1976063829787234,0.9389627659574468,0.9333802180417812,0.9307224303945082,0.9389627659574468,1.630101812547753,0.9139566419585784,0.2590589598933925,0.1445835584198157,0.0425597119427228
encoder_seed_2030,2029,False,true_labels,6,22889,7111,0.1666666666666666,0.1868935452116439,0.9495148361693152,0.9460142636517684,0.9448456082233704,0.9495148361693152,1.645887532601547,0.9222017544685988,0.2963290256654716,0.165384378179477,0.0715223113127815
encoder_seed_2030,2030,False,true_labels,6,22572,7428,0.1666666666666666,0.1743403338718362,0.9312062466343564,0.9308504436081186,0.9296322681788672,0.9312062466343564,1.619532402355184,0.9046393090083436,0.2987046495527179,0.1667102391156381,0.0536104573455199
encoder_seed_2030,2031,False,true_labels,6,22764,7236,0.1666666666666666,0.1784134881149806,0.9159756771697072,0.9088818625230862,0.9067539632277412,0.9159756771697072,1.5931866538544308,0.8915212588623811,0.2934038810990795,0.1637518239127749,0.0348453877395911
encoder_seed_2030,2032,False,true_labels,6,22717,7283,0.1666666666666666,0.1805574625840999,0.9221474667032816,0.9202542521954454,0.9205488879152808,0.9221474667032816,1.5971929573479593,0.8938553159187141,0.2755948609481626,0.1538124205180829,0.0392946548161234
encoder_seed_2030,2033,False,true_labels,6,22286,7714,0.1666666666666666,0.18796992481203,0.894866476536168,0.8871365573247608,0.8869361063252773,0.894866476536168,1.5753308475237866,0.8820274135901961,0.2610991088228205,0.1457221872170766,0.0281387888124778
encoder_seed_2030,2034,False,true_labels,6,22765,7235,0.1666666666666666,0.1910158949550794,0.9442985487214928,0.9364262461275884,0.9355952507390576,0.9442985487214928,1.6339049760201096,0.9173021466330938,0.2906019853273741,0.1621880561080971,0.065524094185787
encoder_seed_2030,2035,False,true_labels,6,22461,7539,0.1666666666666666,0.1944554980766679,0.9306274041650088,0.9227374857178888,0.9200914202622548,0.9306274041650088,1.612902079572001,0.9047703191468986,0.2725096078665533,0.1520905079876367,0.043528000655767
encoder_seed_2030,2026,True,train_labels_permuted_only,6,22979,7021,0.1666666666666666,0.1912832929782082,0.1699188149836205,0.1679705768408416,0.1668670509172291,0.2803019512889901,0.1257872427659297,0.0710804439746257,1.7676886233206512,0.9865658051090004,0.0302316558112982
encoder_seed_2030,2027,True,train_labels_permuted_only,6,22489,7511,0.1666666666666666,0.1978431633604047,0.2704034083344428,0.2521331930889961,0.2342436135916918,0.3283184662495007,0.1994163268802129,0.1134323317471596,1.7620407996931016,0.9834136947255776,0.1249973305556656
encoder_seed_2030,2028,True,train_labels_permuted_only,6,22480,7520,0.1666666666666666,0.1976063829787234,0.169281914893617,0.1657236408215276,0.1666686230120607,0.2984042553191489,0.1487715294601991,0.0843925924408481,1.7655920881034586,0.9853957065253462,0.0312324889941841
encoder_seed_2030,2029,True,train_labels_permuted_only,6,22889,7111,0.1666666666666666,0.1868935452116439,0.196596821825341,0.19430494124614,0.194926718096298,0.2743636619322177,0.1266622838379945,0.0713152447314676,1.7671641177136563,0.9862730729560508,0.03338172879369
encoder_seed_2030,2030,True,train_labels_permuted_only,6,22572,7428,0.1666666666666666,0.1743403338718362,0.1746095853527194,0.1723680935812035,0.1731657231991649,0.3244480344641895,0.2135710997271827,0.1195991585999715,1.7696088197179989,0.9876374871234256,0.0328800319655142
encoder_seed_2030,2031,True,train_labels_permuted_only,6,22764,7236,0.1666666666666666,0.1784134881149806,0.1774461028192371,0.1785494677427896,0.1762214894160462,0.3161967938087341,0.1992961328032501,0.1130328214779235,1.7723905031432907,0.9891899742027824,0.023610728405016
encoder_seed_2030,2032,True,train_labels_permuted_only,6,22717,7283,0.1666666666666666,0.1805574625840999,0.2750240285596594,0.2825069876549005,0.2595689054022022,0.3427159137717973,0.2416797547709898,0.1359870181031781,1.7559147512655984,0.9799946819994206,0.1203401419825865
encoder_seed_2030,2033,True,train_labels_permuted_only,6,22286,7714,0.1666666666666666,0.18796992481203,0.1463572724915737,0.1495451321528259,0.1505602702349537,0.3354939071817475,0.191342935214806,0.1079215465068872,1.7627504866260963,0.9838097785444068,0.0566798821429542
encoder_seed_2030,2034,True,train_labels_permuted_only,6,22765,7235,0.1666666666666666,0.1910158949550794,0.1751209398756047,0.1816315581026456,0.1756089790896066,0.3445749827228749,0.2377112296161223,0.1335712201149627,1.7657468987884493,0.9854821080137433,0.0426305878092344
encoder_seed_2030,2035,True,train_labels_permuted_only,6,22461,7539,0.1666666666666666,0.1944554980766679,0.2619710836981032,0.2529917714016647,0.2626278380271428,0.3330680461599681,0.2476034897270726,0.1400292499088108,1.7654937905865151,0.9853408456365764,0.1078526591662464
