run_label,seed,shuffled_label_control,dataset,true_fraction,predicted_fraction
encoder_seed_2027,2030,True,harmonic,0.1743403338718362,0.3006192784060312
encoder_seed_2027,2030,True,ninapro_db10_meganepro,0.165589660743134,0.1455304254173398
encoder_seed_2027,2030,True,physionet_grabmyo,0.1715131933225632,0.1303177167474421
encoder_seed_2027,2030,True,physionet_hyser,0.16182014001077,0.1215670436187399
encoder_seed_2027,2031,True,emg2pose,0.1784134881149806,0.1471807628524046
encoder_seed_2027,2031,True,emg2qwerty,0.1264510779436152,0.1489773355444997
encoder_seed_2027,2031,True,harmonic,0.1782752902155887,0.1597567716970702
encoder_seed_2027,2031,True,ninapro_db10_meganepro,0.1706744057490326,0.1332227750138198
encoder_seed_2027,2031,True,physionet_grabmyo,0.175787728026534,0.205085682697623
encoder_seed_2027,2031,True,physionet_hyser,0.1703980099502487,0.2057766721945826
encoder_seed_2027,2032,True,emg2pose,0.1805574625840999,0.144857888232871
encoder_seed_2027,2032,True,emg2qwerty,0.1543320060414664,0.1712206508307016
encoder_seed_2027,2032,True,harmonic,0.1552931484278456,0.2321845393381848
encoder_seed_2027,2032,True,ninapro_db10_meganepro,0.1705341205547164,0.1565289029246189
encoder_seed_2027,2032,True,physionet_grabmyo,0.168886447892352,0.1271454071124536
encoder_seed_2027,2032,True,physionet_hyser,0.1703968144995194,0.1680626115611698
encoder_seed_2027,2033,True,emg2pose,0.1716359865180191,0.1887477313974591
encoder_seed_2027,2033,True,emg2qwerty,0.1457091003370495,0.2311381903033445
encoder_seed_2027,2033,True,harmonic,0.18796992481203,0.1317085817993259
encoder_seed_2027,2033,True,ninapro_db10_meganepro,0.1624319419237749,0.1477832512315271
encoder_seed_2027,2033,True,physionet_grabmyo,0.1664506092818252,0.1505055742805289
encoder_seed_2027,2033,True,physionet_hyser,0.165802437127301,0.1501166709878143
encoder_seed_2027,2034,True,emg2pose,0.1910158949550794,0.2369039391845196
encoder_seed_2027,2034,True,emg2qwerty,0.1143054595715273,0.1488597097442985
encoder_seed_2027,2034,True,harmonic,0.1752591568762957,0.1979267449896337
encoder_seed_2027,2034,True,ninapro_db10_meganepro,0.1729094678645473,0.1167933655839668
encoder_seed_2027,2034,True,physionet_grabmyo,0.1749827228749136,0.1730476848652384
encoder_seed_2027,2034,True,physionet_hyser,0.1715272978576364,0.1264685556323427
encoder_seed_2027,2035,True,emg2pose,0.1814564265817747,0.1046557898925586
encoder_seed_2027,2035,True,emg2qwerty,0.1156652075872131,0.2946014060220188
encoder_seed_2027,2035,True,harmonic,0.1944554980766679,0.1700490781270725
encoder_seed_2027,2035,True,ninapro_db10_meganepro,0.1650086218331343,0.1530706990317018
encoder_seed_2027,2035,True,physionet_grabmyo,0.1721713755139939,0.1326435866825838
encoder_seed_2027,2035,True,physionet_hyser,0.1712428704072158,0.1449794402440642
encoder_seed_2028,2026,False,emg2pose,0.1912832929782082,0.1642216208517305
encoder_seed_2028,2026,False,emg2qwerty,0.134453781512605,0.1579547073066514
encoder_seed_2028,2026,False,harmonic,0.1380145278450363,0.1387266771115225
encoder_seed_2028,2026,False,ninapro_db10_meganepro,0.1787494658880501,0.1784646061814556
encoder_seed_2028,2026,False,physionet_grabmyo,0.1787494658880501,0.1788918957413474
encoder_seed_2028,2026,False,physionet_hyser,0.1787494658880501,0.1817404928072924
encoder_seed_2028,2027,False,emg2pose,0.1808014911463187,0.174544002130209
encoder_seed_2028,2027,False,emg2qwerty,0.1200905338836373,0.1254160564505392
encoder_seed_2028,2027,False,harmonic,0.1978431633604047,0.1979763014245772
