run_label,seed,shuffled_label_control,true_dataset,pred_dataset,count,row_fraction
encoder_seed_2026,2029,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2029,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2029,False,harmonic,harmonic,1075,1.0
encoder_seed_2026,2029,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2029,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2029,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1272,1.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2029,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2029,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2029,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2029,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2029,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2029,False,physionet_grabmyo,physionet_grabmyo,1280,1.0
encoder_seed_2026,2029,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2029,False,physionet_hyser,emg2pose,1,0.0007980845969672
encoder_seed_2026,2029,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2029,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2029,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2029,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2029,False,physionet_hyser,physionet_hyser,1252,0.9992019154030328
encoder_seed_2026,2030,False,emg2pose,emg2pose,895,0.7047244094488189
encoder_seed_2026,2030,False,emg2pose,emg2qwerty,370,0.2913385826771653
encoder_seed_2026,2030,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2030,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2030,False,emg2pose,physionet_grabmyo,1,0.0007874015748031
encoder_seed_2026,2030,False,emg2pose,physionet_hyser,4,0.0031496062992125
encoder_seed_2026,2030,False,emg2qwerty,emg2pose,152,0.1313742437337943
encoder_seed_2026,2030,False,emg2qwerty,emg2qwerty,999,0.8634399308556612
encoder_seed_2026,2030,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2030,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2030,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2030,False,emg2qwerty,physionet_hyser,6,0.0051858254105445
encoder_seed_2026,2030,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2030,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2030,False,harmonic,harmonic,1295,1.0
encoder_seed_2026,2030,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2030,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2030,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1230,1.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2030,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2030,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2030,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2030,False,physionet_grabmyo,harmonic,1,0.0007849293563579
encoder_seed_2026,2030,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2030,False,physionet_grabmyo,physionet_grabmyo,1273,0.999215070643642
encoder_seed_2026,2030,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,emg2pose,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2030,False,physionet_hyser,physionet_hyser,1202,1.0
encoder_seed_2026,2031,False,emg2pose,emg2pose,938,0.726568551510457
encoder_seed_2026,2031,False,emg2pose,emg2qwerty,332,0.2571649883810999
encoder_seed_2026,2031,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2031,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2031,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2031,False,emg2pose,physionet_hyser,21,0.016266460108443
encoder_seed_2026,2031,False,emg2qwerty,emg2pose,206,0.2251366120218579
encoder_seed_2026,2031,False,emg2qwerty,emg2qwerty,705,0.7704918032786885
encoder_seed_2026,2031,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2031,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
