run_label,seed,shuffled_label_control,dataset,true_support,predicted_support,recall
encoder_seed_2027,2026,True,ninapro_db10_meganepro,1255,1719,0.2095617529880478
encoder_seed_2027,2026,True,physionet_grabmyo,1255,1427,0.1768924302788844
encoder_seed_2027,2026,True,physionet_hyser,1255,967,0.0725099601593625
encoder_seed_2027,2027,True,emg2pose,1358,1196,0.166421207658321
encoder_seed_2027,2027,True,emg2qwerty,902,833,0.130820399113082
encoder_seed_2027,2027,True,harmonic,1486,2240,0.8337819650067295
encoder_seed_2027,2027,True,ninapro_db10_meganepro,1252,919,0.0710862619808306
encoder_seed_2027,2027,True,physionet_grabmyo,1259,1105,0.096902303415409
encoder_seed_2027,2027,True,physionet_hyser,1254,1218,0.2926634768740032
encoder_seed_2027,2028,True,emg2pose,1353,1088,0.1921655580192165
encoder_seed_2027,2028,True,emg2qwerty,901,923,0.1753607103218646
encoder_seed_2027,2028,True,harmonic,1486,1535,0.2745625841184387
encoder_seed_2027,2028,True,ninapro_db10_meganepro,1265,1123,0.1604743083003952
encoder_seed_2027,2028,True,physionet_grabmyo,1291,808,0.1270333075135553
encoder_seed_2027,2028,True,physionet_hyser,1224,2043,0.0784313725490196
encoder_seed_2027,2029,True,emg2pose,1329,1470,0.1851015801354401
encoder_seed_2027,2029,True,emg2qwerty,902,1865,0.106430155210643
encoder_seed_2027,2029,True,harmonic,1075,1127,0.0
encoder_seed_2027,2029,True,ninapro_db10_meganepro,1272,742,0.0243710691823899
encoder_seed_2027,2029,True,physionet_grabmyo,1280,957,0.159375
encoder_seed_2027,2029,True,physionet_hyser,1253,950,0.1931364724660814
encoder_seed_2027,2030,True,emg2pose,1270,1213,0.1787401574803149
encoder_seed_2027,2030,True,emg2qwerty,1157,1030,0.1313742437337943
encoder_seed_2027,2030,True,harmonic,1295,2233,0.9266409266409268
encoder_seed_2027,2030,True,ninapro_db10_meganepro,1230,1081,0.156910569105691
encoder_seed_2027,2030,True,physionet_grabmyo,1274,968,0.3430141287284144
encoder_seed_2027,2030,True,physionet_hyser,1202,903,0.1381031613976705
encoder_seed_2027,2031,True,emg2pose,1291,1065,0.1936483346243222
encoder_seed_2027,2031,True,emg2qwerty,915,1078,0.1704918032786885
encoder_seed_2027,2031,True,harmonic,1290,1156,0.0
encoder_seed_2027,2031,True,ninapro_db10_meganepro,1235,964,0.2493927125506073
encoder_seed_2027,2031,True,physionet_grabmyo,1272,1484,0.1045597484276729
encoder_seed_2027,2031,True,physionet_hyser,1233,1489,0.1686942416869424
encoder_seed_2027,2032,True,emg2pose,1315,1055,0.2098859315589353
encoder_seed_2027,2032,True,emg2qwerty,1124,1247,0.1725978647686832
encoder_seed_2027,2032,True,harmonic,1131,1691,0.8505747126436781
encoder_seed_2027,2032,True,ninapro_db10_meganepro,1242,1140,0.2085346215780998
encoder_seed_2027,2032,True,physionet_grabmyo,1230,926,0.2113821138211382
encoder_seed_2027,2032,True,physionet_hyser,1241,1224,0.2224012892828364
encoder_seed_2027,2033,True,emg2pose,1324,1456,0.1767371601208459
encoder_seed_2027,2033,True,emg2qwerty,1124,1783,0.152135231316726
encoder_seed_2027,2033,True,harmonic,1450,1016,0.0158620689655172
encoder_seed_2027,2033,True,ninapro_db10_meganepro,1253,1140,0.2218675179569034
encoder_seed_2027,2033,True,physionet_grabmyo,1284,1161,0.1043613707165109
encoder_seed_2027,2033,True,physionet_hyser,1279,1158,0.3111806098514464
encoder_seed_2027,2034,True,emg2pose,1382,1714,0.1678726483357453
encoder_seed_2027,2034,True,emg2qwerty,827,1077,0.2636033857315598
encoder_seed_2027,2034,True,harmonic,1268,1432,0.1987381703470031
encoder_seed_2027,2034,True,ninapro_db10_meganepro,1251,845,0.0599520383693045
encoder_seed_2027,2034,True,physionet_grabmyo,1266,1252,0.2180094786729857
encoder_seed_2027,2034,True,physionet_hyser,1241,915,0.0983078162771958
encoder_seed_2027,2035,True,emg2pose,1368,789,0.1535087719298245
encoder_seed_2027,2035,True,emg2qwerty,872,2221,0.1502293577981651
encoder_seed_2027,2035,True,harmonic,1466,1282,0.3328785811732606
encoder_seed_2027,2035,True,ninapro_db10_meganepro,1244,1154,0.267684887459807
encoder_seed_2027,2035,True,physionet_grabmyo,1298,1000,0.3158705701078582
encoder_seed_2027,2035,True,physionet_hyser,1291,1093,0.2192099147947327
encoder_seed_2028,2026,False,emg2pose,1343,1153,0.731198808637379
encoder_seed_2028,2026,False,emg2qwerty,944,1109,0.815677966101695
encoder_seed_2028,2026,False,harmonic,969,974,1.0
encoder_seed_2028,2026,False,ninapro_db10_meganepro,1255,1253,0.997609561752988
encoder_seed_2028,2026,False,physionet_grabmyo,1255,1256,1.0
encoder_seed_2028,2026,False,physionet_hyser,1255,1276,1.0
encoder_seed_2028,2027,False,emg2pose,1358,1311,0.7650957290132547
encoder_seed_2028,2027,False,emg2qwerty,902,942,0.6951219512195121
encoder_seed_2028,2027,False,harmonic,1486,1487,1.0
encoder_seed_2028,2027,False,ninapro_db10_meganepro,1252,1253,0.9992012779552716
encoder_seed_2028,2027,False,physionet_grabmyo,1259,1260,1.0
encoder_seed_2028,2027,False,physionet_hyser,1254,1258,1.0
encoder_seed_2028,2028,False,emg2pose,1353,1166,0.7464892830746489
encoder_seed_2028,2028,False,emg2qwerty,901,1081,0.8224195338512763
encoder_seed_2028,2028,False,harmonic,1486,1486,1.0
encoder_seed_2028,2028,False,ninapro_db10_meganepro,1265,1269,1.0
encoder_seed_2028,2028,False,physionet_grabmyo,1291,1292,0.9992254066615028
encoder_seed_2028,2028,False,physionet_hyser,1224,1226,1.0
encoder_seed_2028,2029,False,emg2pose,1329,1269,0.8570353649360422
encoder_seed_2028,2029,False,emg2qwerty,902,958,0.852549889135255
encoder_seed_2028,2029,False,harmonic,1075,1077,1.0
encoder_seed_2028,2029,False,ninapro_db10_meganepro,1272,1272,0.9992138364779874
encoder_seed_2028,2029,False,physionet_grabmyo,1280,1281,1.0
encoder_seed_2028,2029,False,physionet_hyser,1253,1254,1.0
encoder_seed_2028,2030,False,emg2pose,1270,1017,0.6968503937007874
encoder_seed_2028,2030,False,emg2qwerty,1157,1402,0.881590319792567
encoder_seed_2028,2030,False,harmonic,1295,1296,1.0
encoder_seed_2028,2030,False,ninapro_db10_meganepro,1230,1230,1.0
encoder_seed_2028,2030,False,physionet_grabmyo,1274,1274,1.0
encoder_seed_2028,2030,False,physionet_hyser,1202,1209,1.0
encoder_seed_2028,2031,False,emg2pose,1291,1125,0.7095274980635167
encoder_seed_2028,2031,False,emg2qwerty,915,1059,0.7683060109289618
encoder_seed_2028,2031,False,harmonic,1290,1292,1.0
encoder_seed_2028,2031,False,ninapro_db10_meganepro,1235,1235,1.0
encoder_seed_2028,2031,False,physionet_grabmyo,1272,1272,1.0
encoder_seed_2028,2031,False,physionet_hyser,1233,1253,1.0
encoder_seed_2028,2032,False,emg2pose,1315,1530,0.864638783269962
encoder_seed_2028,2032,False,emg2qwerty,1124,889,0.6379003558718861
