dataset,protocol,calibration_per_class,model,n_trials,n_units,balanced_acc_mean,macro_f1_mean,acc_mean,n_train_mean,n_test_mean
physionet_hyser,source_plus_calibration,0,raw_stats,200,20,0.1619555591131804,0.1417123973263278,0.1617988435523977,1344.8,1345.15
physionet_hyser,source_plus_calibration,0,raw_stats_plus_frequency,200,20,0.17954353967246853,0.16678946373978357,0.17928398718645608,1344.8,1345.15
physionet_hyser,source_plus_calibration,0,raw_stats_plus_pretrained,200,20,0.2030407298299427,0.18849605123539817,0.20263931977876168,1344.8,1345.15
physionet_hyser,source_plus_calibration,1,frequency_logbandpower,200,20,0.21779464414085073,0.2036205575964451,0.21754069091674302,1378.55,1343.6
physionet_hyser,source_plus_calibration,1,pretrained_encoder,200,20,0.20032043522122284,0.18687820122499993,0.19979502136708527,1378.55,1343.6
physionet_hyser,source_plus_calibration,1,raw_stats,200,20,0.1956716234046726,0.1756623221039937,0.195441286829693,1378.55,1343.6
physionet_hyser,source_plus_calibration,1,raw_stats_plus_frequency,200,20,0.2204378069076689,0.20879294806884535,0.22007870881923414,1378.55,1343.6
physionet_hyser,source_plus_calibration,1,raw_stats_plus_pretrained,200,20,0.23713584414601663,0.2258451127770015,0.23673404395491493,1378.55,1343.6
physionet_hyser,source_plus_calibration,2,frequency_logbandpower,200,20,0.23852882006274784,0.22363418913548905,0.23822434552653873,1412.3,1340.8
physionet_hyser,source_plus_calibration,2,pretrained_encoder,200,20,0.21132869374948732,0.19766533035048525,0.21077291073094884,1412.3,1340.8
physionet_hyser,source_plus_calibration,2,raw_stats,200,20,0.213064170850998,0.1925475356348799,0.21278616626569247,1412.3,1340.8
physionet_hyser,source_plus_calibration,2,raw_stats_plus_frequency,200,20,0.2427765588273865,0.2309404202298259,0.24239301664895796,1412.3,1340.8
physionet_hyser,source_plus_calibration,2,raw_stats_plus_pretrained,200,20,0.2562386660498303,0.24510880117677247,0.2557831604061542,1412.3,1340.8
physionet_hyser,source_plus_calibration,5,frequency_logbandpower,200,20,0.2860189052587127,0.269431588023096,0.28554099995625865,1513.55,1312.05
physionet_hyser,source_plus_calibration,5,pretrained_encoder,200,20,0.24034670722091905,0.2260507913008807,0.2397442428161154,1513.55,1312.05
