dataset,protocol,subject_id,unit,seed,model,metric,aulc
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4361379404748401
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2035,raw_stats_plus_signal,balanced_acc,0.3853399987669383
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4126542490066516
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2026,raw_stats_plus_signal,balanced_acc,0.39133541136705147
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4424789852772459
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2027,raw_stats_plus_signal,balanced_acc,0.4145938139604393
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4135564304205367
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2028,raw_stats_plus_signal,balanced_acc,0.3931652177511814
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.43577429247730964
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2029,raw_stats_plus_signal,balanced_acc,0.3704608754314724
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.433290102211595
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2030,raw_stats_plus_signal,balanced_acc,0.4147657535421715
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.48060565750808615
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2031,raw_stats_plus_signal,balanced_acc,0.4142354759540323
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4692108055708654
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2032,raw_stats_plus_signal,balanced_acc,0.4243268126187254
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.46025640877782176
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2033,raw_stats_plus_signal,balanced_acc,0.41865885236142225
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.47268508055299774
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2034,raw_stats_plus_signal,balanced_acc,0.38620594063843156
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4589661042716763
physionet_grabmyo,heldout_subject_fewshot,S04,physionet_grabmyo::heldout_subject::S04,2035,raw_stats_plus_signal,balanced_acc,0.40205241836346534
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4304305087690947
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2026,raw_stats_plus_signal,balanced_acc,0.36638625372645295
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.47474498681635147
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2027,raw_stats_plus_signal,balanced_acc,0.4080745672747555
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4978377453822523
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2028,raw_stats_plus_signal,balanced_acc,0.42133640719135584
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4288635759916072
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2029,raw_stats_plus_signal,balanced_acc,0.3997170759302648
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.49814408642783414
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2030,raw_stats_plus_signal,balanced_acc,0.4461388228598994
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.48031352332772104
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2031,raw_stats_plus_signal,balanced_acc,0.4088893612046231
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5021289413602514
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2032,raw_stats_plus_signal,balanced_acc,0.44206566285277393
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5032871362091723
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2033,raw_stats_plus_signal,balanced_acc,0.4348157253968528
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.49897797232542934
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2034,raw_stats_plus_signal,balanced_acc,0.42994428566151127
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.47466890575659
physionet_grabmyo,heldout_subject_fewshot,S05,physionet_grabmyo::heldout_subject::S05,2035,raw_stats_plus_signal,balanced_acc,0.4174728279589219
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4225951946571292
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2026,raw_stats_plus_signal,balanced_acc,0.38949227235751277
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4262569785303515
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2027,raw_stats_plus_signal,balanced_acc,0.4013937932549017
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.3767979396895819
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2028,raw_stats_plus_signal,balanced_acc,0.32862068187277427
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.417659754358301
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2029,raw_stats_plus_signal,balanced_acc,0.3760558675889884
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4160495181061326
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2030,raw_stats_plus_signal,balanced_acc,0.3820834919534574
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.42448694061732506
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2031,raw_stats_plus_signal,balanced_acc,0.3686693502432008
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.43497675023640175
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2032,raw_stats_plus_signal,balanced_acc,0.36842841253200304
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.43789395216339444
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2033,raw_stats_plus_signal,balanced_acc,0.39588342668200704
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.43394829806187896
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2034,raw_stats_plus_signal,balanced_acc,0.41652031440764203
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.44991235340826036
physionet_grabmyo,heldout_subject_fewshot,S06,physionet_grabmyo::heldout_subject::S06,2035,raw_stats_plus_signal,balanced_acc,0.3899480072076057
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5352857019196869
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2026,raw_stats_plus_signal,balanced_acc,0.4727382396833775
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5342404557439735
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2027,raw_stats_plus_signal,balanced_acc,0.4610526130969309
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.47090186943507867
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2028,raw_stats_plus_signal,balanced_acc,0.4450364876427747
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.5087909484114692
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2029,raw_stats_plus_signal,balanced_acc,0.4596248459210292
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4722964962764234
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2030,raw_stats_plus_signal,balanced_acc,0.4116336924106893
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.45244666576571935
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2031,raw_stats_plus_signal,balanced_acc,0.3919874606829157
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4776412700630342
physionet_grabmyo,heldout_subject_fewshot,S07,physionet_grabmyo::heldout_subject::S07,2032,raw_stats_plus_signal,balanced_acc,0.44121866063891185
