dataset,subject_id,source_session,target_session,unit,seed,model,metric,aulc
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,pretrained_encoder,balanced_acc,0.20116326982853078
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats,balanced_acc,0.46963040487256547
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats_plus_frequency,balanced_acc,0.3478451510673107
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2030,raw_stats_plus_pretrained,balanced_acc,0.30061947426461255
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,frequency_logbandpower,balanced_acc,0.417231288957877
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,pretrained_encoder,balanced_acc,0.1895196806679169
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats,balanced_acc,0.4714054980137797
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats_plus_frequency,balanced_acc,0.3387045835394137
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2031,raw_stats_plus_pretrained,balanced_acc,0.29407532046877743
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,frequency_logbandpower,balanced_acc,0.40843872166880935
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,pretrained_encoder,balanced_acc,0.1898857288121226
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,raw_stats,balanced_acc,0.5068644775955216
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,raw_stats_plus_frequency,balanced_acc,0.3471809352242807
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2032,raw_stats_plus_pretrained,balanced_acc,0.2898698018404926
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2033,frequency_logbandpower,balanced_acc,0.43615149247505586
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2033,pretrained_encoder,balanced_acc,0.18231677313030015
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2033,raw_stats,balanced_acc,0.49927666564106654
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2033,raw_stats_plus_frequency,balanced_acc,0.3756592227146584
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2033,raw_stats_plus_pretrained,balanced_acc,0.3032219271658548
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2034,frequency_logbandpower,balanced_acc,0.42912803334038113
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2034,pretrained_encoder,balanced_acc,0.2009022405289589
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2034,raw_stats,balanced_acc,0.4732065445039617
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2034,raw_stats_plus_frequency,balanced_acc,0.3525452556817163
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2034,raw_stats_plus_pretrained,balanced_acc,0.29814585063739263
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2035,frequency_logbandpower,balanced_acc,0.4215286483659047
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2035,pretrained_encoder,balanced_acc,0.1774790060486642
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2035,raw_stats,balanced_acc,0.49350138073685235
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2035,raw_stats_plus_frequency,balanced_acc,0.37223109622518014
physionet_grabmyo,S01,session1,session3,physionet_grabmyo::S01::session1->session3,2035,raw_stats_plus_pretrained,balanced_acc,0.29050967848402875
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2026,frequency_logbandpower,balanced_acc,0.44641801650117974
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2026,pretrained_encoder,balanced_acc,0.16965626463552466
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2026,raw_stats,balanced_acc,0.4517209331660661
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2026,raw_stats_plus_frequency,balanced_acc,0.35474838922541635
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2026,raw_stats_plus_pretrained,balanced_acc,0.29237682038838236
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2027,frequency_logbandpower,balanced_acc,0.43862271282406246
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2027,pretrained_encoder,balanced_acc,0.16216219937670476
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2027,raw_stats,balanced_acc,0.45441734542908224
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2027,raw_stats_plus_frequency,balanced_acc,0.3327719606773336
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2027,raw_stats_plus_pretrained,balanced_acc,0.27106661542499577
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2028,frequency_logbandpower,balanced_acc,0.4155045261569596
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2028,pretrained_encoder,balanced_acc,0.1572376321456868
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2028,raw_stats,balanced_acc,0.46625767213106933
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2028,raw_stats_plus_frequency,balanced_acc,0.33392462355070845
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2028,raw_stats_plus_pretrained,balanced_acc,0.26549788787434697
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2029,frequency_logbandpower,balanced_acc,0.42357017047497836
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2029,pretrained_encoder,balanced_acc,0.15462859052699432
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2029,raw_stats,balanced_acc,0.4577965179088825
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2029,raw_stats_plus_frequency,balanced_acc,0.3417566185621985
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2029,raw_stats_plus_pretrained,balanced_acc,0.2838790197898112
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2030,frequency_logbandpower,balanced_acc,0.4242120117789343
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2030,pretrained_encoder,balanced_acc,0.1660255842681342
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2030,raw_stats,balanced_acc,0.45461306987466454
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2030,raw_stats_plus_frequency,balanced_acc,0.33165381602263894
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2030,raw_stats_plus_pretrained,balanced_acc,0.2861656507520773
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2031,frequency_logbandpower,balanced_acc,0.41511959146841704
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2031,pretrained_encoder,balanced_acc,0.1632211942728903
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2031,raw_stats,balanced_acc,0.45782077512800234
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2031,raw_stats_plus_frequency,balanced_acc,0.335231849391866
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2031,raw_stats_plus_pretrained,balanced_acc,0.2721674193061868
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2032,frequency_logbandpower,balanced_acc,0.4213741868265006
physionet_grabmyo,S02,session1,session2,physionet_grabmyo::S02::session1->session2,2032,pretrained_encoder,balanced_acc,0.1646386454411287
