seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set,mutual_information,normalized_mutual_information
2030,2,41977,18023,0.5,0.5039671530821728,0.490872773678078,0.4908838659432364,0.4908695997294605,0.509127226321922,0.6913421270748515,0.997395858288516,0.0331661621420788,True,two_domain_confirmatory_features,raw_statistics,0.00016620789109389293,0.0002397934928548221
2031,2,41943,18057,0.5,0.5000830702774547,0.963836739214709,0.9638377411140516,0.9638354929706988,0.963836739214709,0.1043701465124388,0.15057429279035,0.0076024594287674,False,two_domain_confirmatory_features,raw_statistics,0.5380473923689579,0.776278006731865
2031,2,41943,18057,0.5,0.5000830702774547,0.444370604197818,0.4443744808395043,0.4440698389725809,0.555629395802182,0.6915585279515555,0.9977080587601808,0.0778467302696885,True,two_domain_confirmatory_features,raw_statistics,0.0062149056273144085,0.008973270081114076
2032,2,41880,18120,0.5,0.5027593818984547,0.9543598233995584,0.9543898047175294,0.954359822148512,0.9543598233995584,0.1202871184102482,0.1735376292132887,0.0077959780215772,False,two_domain_confirmatory_features,raw_statistics,0.5079975975210409,0.7329027117130678
2032,2,41880,18120,0.5,0.5027593818984547,0.5300220750551876,0.5300546654467351,0.5300179010551422,0.5300220750551876,0.6913697861526451,0.9974357619028844,0.0104546974007168,True,two_domain_confirmatory_features,raw_statistics,0.0018078484933705952,0.0026083266727727292
2033,2,42017,17983,0.5,0.5000278040371462,0.9646332647500416,0.9646343160083768,0.9646206921691118,0.9646332647500416,0.1001686701209644,0.1445128436359578,0.0053884799848291,False,two_domain_confirmatory_features,raw_statistics,0.5450165822559941,0.786697335132829
2033,2,42017,17983,0.5,0.5000278040371462,0.4687760662848245,0.4687756038957106,0.4687391033811557,0.5312239337151754,0.6915485284108106,0.9976936324723368,0.0535551618894842,True,two_domain_confirmatory_features,raw_statistics,0.001951736673682784,0.002816041619901225
2034,2,41830,18170,0.5,0.5046780407264722,0.9584479911942764,0.9586982309463226,0.958434856363688,0.9584479911942764,0.0952284470052634,0.1373856082460511,0.0094283475736264,False,two_domain_confirmatory_features,raw_statistics,0.5290432027588656,0.7638279313290469
2034,2,41830,18170,0.5,0.5046780407264722,0.4829939460649422,0.4826551557009572,0.4821349915792201,0.5170060539350578,0.6912230689185171,0.9972240936767948,0.0415137543646932,True,two_domain_confirmatory_features,raw_statistics,0.0006049217582447652,0.0008743859201999972
2035,2,41881,18119,0.5,0.5023456040620343,0.9657265853523924,0.965814639487945,0.965719634846733,0.9657265853523924,0.0848469742264305,0.122408308950905,0.0080840534953703,False,two_domain_confirmatory_features,raw_statistics,0.5489270527977854,0.7922550668393379
